game_id,npb_player_id,yahoo_player_id,player_name,team,ab,h,r,rbi,bb,so,hr,avg_display
2021038624,93795157,1560639,カリステ,中日ドラゴンズ,4,1,0,1,1,0,0,.250
2021038624,91195151,1900037,石川 昂弥,中日ドラゴンズ,0,0,0,0,1,0,0,-
2021038624,21025157,1750701,田中 幹也,中日ドラゴンズ,4,2,0,0,0,1,0,.500
2021038624,31735132,1500076,木下 拓哉,中日ドラゴンズ,1,0,0,0,0,1,0,.000
2021038624,81585151,1900041,岡林 勇希,中日ドラゴンズ,6,3,1,0,0,0,0,.500
2021038624,31835134,1600085,細川 成也,中日ドラゴンズ,5,2,0,0,0,1,0,.400
2021038624,21625157,2103947,樋口 正修,中日ドラゴンズ,1,0,1,0,0,0,0,.000
2021038624,81685157,2103780,福永 裕基,中日ドラゴンズ,6,2,1,1,0,2,0,.333
2021038624,73575152,1561854,サノー,中日ドラゴンズ,4,0,0,0,1,2,0,.000
2021038624,61265159,2105174,辻本 倫太郎,中日ドラゴンズ,1,0,0,0,0,0,0,.000
2021038624,21125150,2105102,石伊 雄太,中日ドラゴンズ,5,4,1,2,0,0,0,.800
2021038624,03105157,1750223,村松 開人,中日ドラゴンズ,4,2,1,1,0,1,0,.500
2021038624,63165134,1600106,柳 裕也,中日ドラゴンズ,2,1,0,0,0,1,0,.500
2021038624,61165132,1500078,阿部 寿樹,中日ドラゴンズ,1,0,0,0,0,1,0,.000
2021038624,71575159,2107645,尾田 剛樹,中日ドラゴンズ,1,0,0,0,0,0,0,.000
2021038624,71675152,2110164,平川 蓮,広島東洋カープ,5,1,0,3,0,2,0,.200
2021038624,81285136,1700068,中村 奨成,広島東洋カープ,5,0,0,0,0,1,0,.000
2021038624,01705138,1800072,小園 海斗,広島東洋カープ,5,1,0,0,0,1,0,.200
2021038624,11015150,2050203,佐々木 泰,広島東洋カープ,4,1,1,0,1,1,0,.250
2021038624,43745150,2114882,ファビアン,広島東洋カープ,5,2,1,0,0,1,0,.400
2021038624,61565135,1100082,菊池 涼介,広島東洋カープ,4,1,1,0,0,0,0,.250
2021038624,11915134,1600124,坂倉 将吾,広島東洋カープ,2,1,1,0,3,0,0,.500
2021038624,81585152,2110422,勝田 成,広島東洋カープ,5,1,0,1,0,0,0,.200
2021038624,11415134,1600123,床田 寛樹,広島東洋カープ,1,1,0,0,0,0,0,1.000
2021038624,31135133,1000150,秋山 翔吾,広島東洋カープ,1,1,1,0,0,0,0,1.000
2021038624,91895153,2000066,二俣 翔一,広島東洋カープ,1,0,0,0,0,1,0,.000
2021038624,53955150,1961927,モンテロ,広島東洋カープ,1,1,0,2,0,0,0,1.000
2021038624,21325138,1800079,大盛 穂,広島東洋カープ,0,0,1,0,0,0,0,-
